TV_Name,Rating,Info_Raw,Price,Offers,Deal_Type,rating_review,name,size_cm,size_inch,display,edition,model_id,sound_output,warranty_years,rating_count,review_count
XIAOMI A Series 108 cm (43 inch) Full HD LED Smart Google TV 2025 Edition with 200+ Free Channels | HD...,4.3,Full HD | LED Model ID: L43MB-AFIN Launch Year: 2025 Total Sound Output: 20 W 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase,19999,35,Lowest price since launch,"1,07,508 Ratings & 6,963 Reviews",XIAOMI,108,43.0,LED, 108,L43MB-AFIN,43,0,107508,6963
XIAOMI F Pro 138 cm (55 inch) QLED Ultra HD (4K) Smart Fire TV 2025 Edition with 34W Box Speakers | Do...,4,Ultra HD (4K) | QLED Model ID: L55MB-FPIN Launch Year: 2025 Total Sound Output: 34 W 1 year comprehensive warranty,32999,47,Upto 2000 Off on Exchange,"12,783 Ratings & 720 Reviews",XIAOMI,138,55.0,QLED, 138,L55MB-FPIN,55,0,12783,720
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV 2025 Edition with Voice Assistance Remote Control ...,4.3,HD Ready | LED Model ID: UA32H4500FUXXL Launch Year: 2025 Total Sound Output: 20 W 2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),12990,27,Hot Deal,"1,24,643 Ratings & 7,448 Reviews",Samsung,80,32.0,LED, 80,UA32H4500FUXXL,32,2,124643,7448
TCL C6KS 139 cm (55 inch) Ultra HD (4K) Mini LED Smart Google TV 2025 Edition with High HDR Brightness...,4.1,Ultra HD (4K) | Mini LED Model ID: 55C6KS Launch Year: 2025 Total Sound Output: 40 W 2 Years Product Warranty,44490,55,Upto 6650 Off on Exchange,167 Ratings & 24 Reviews,TCL,139,55.0,Mini LED,6,55C6KS,55,2,167,24
XIAOMI 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2025 Edition with Dolby Vision | HDR 10 | 30...,4.3,Ultra HD (4K) | LED Model ID: L50MB-AIN Launch Year: 2025 Total Sound Output: 30 W Enjoy 2 Years of Warranty � 1st Year Comprehensive Warranty + 1 Additional Year of Free Warranty on the Display Panel,29999,33,Hot Deal,"81,898 Ratings & 6,088 Reviews",XIAOMI,125,50.0,LED, 125,L50MB-AIN,50,2,81898,6088
XIAOMI X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2025 Edition with Dolby Vision | HD...,4.3,Ultra HD (4K) | LED Model ID: L55MB-AIN Launch Year: 2025 Total Sound Output: 34 W Enjoy 2 Years of Warranty � 1st Year Comprehensive Warranty + 1 Additional Year of Free Warranty on the Display Panel,34999,28,Upto 2000 Off on Exchange,"81,898 Ratings & 6,088 Reviews",XIAOMI,138,55.0,LED, 138,L55MB-AIN,55,2,81898,6088
TCL T6C 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition with HDR 10+ | Dolby Vision- ...,4,Ultra HD (4K) | QLED Model ID: 55T6C Launch Year: 2025 Total Sound Output: 24 W 2 Years Product Warranty,33990,63,Hot Deal,"6,394 Ratings & 436 Reviews",TCL,139,55.0,QLED,6,55T6C,55,2,6394,436
TCL T89C 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition with HVA Panel | Dolby Visio...,4.1,Ultra HD (4K) | QLED Model ID: 55T89C Launch Year: 2025 Total Sound Output: 35 W 2 Years Product Warranty,37990,61,Upto 6650 Off on Exchange,"2,110 Ratings & 194 Reviews",TCL,139,55.0,QLED,89,55T89C,55,2,2110,194
iFFALCON by TCL U65 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2025 Edition with MEMC | Dolby ...,4.1,Ultra HD (4K) | LED Model ID: 43U65 Launch Year: 2025 Total Sound Output: 24 W 1 Year Product Warranty,18499,63,Upto 6650 Off on Exchange,"11,883 Ratings & 938 Reviews",iFFALCON,108,43.0,LED,65,43U65,43,1,11883,938
LG AI TV UA8200 126 cm (50 inch) Ultra HD (4K) LED Smart WebOS TV 2025 Edition with Alpha7 AI Processo...,4.4,Ultra HD (4K) | LED Model ID: 50UA82006LA Launch Year: 2025 Total Sound Output: 20 W Warranty Information: 1-Year LG India Standard Warranty on Product from the date of purchase (T&C Apply) and 1-year standard warranty on the remote control (only for tech defect in remote controller).,34990,45,Bank Offer,"34,142 Ratings & 2,334 Reviews",LG,126,50.0,LED,8200,50UA82006LA,50,0,34142,2334
XIAOMI X Pro CineMagiQLED 138 cm (55 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition with Dolby ...,4,Ultra HD (4K) | QLED Model ID: L55MB-APIN Launch Year: 2025 Total Sound Output: 34 W Enjoy 2 Years of Warranty � 1st Year Comprehensive Warranty + 1 Additional Year of Free Warranty on the Display Panel,39999,36,Upto 6650 Off on Exchange,"12,783 Ratings & 720 Reviews",XIAOMI,138,55.0,QLED, 138,L55MB-APIN,55,2,12783,720
XIAOMI X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2025 Edition with Dolby Vision | HD...,4.3,Ultra HD (4K) | LED Model ID: L43MB-AIN Launch Year: 2025 Total Sound Output: 30 W Enjoy 2 Years of Warranty � 1st Year Comprehensive Warranty + 1 Additional Year of Free Warranty on the Display Panel,24999,34,Bank Offer,"81,898 Ratings & 6,088 Reviews",XIAOMI,108,43.0,LED, 108,L43MB-AIN,43,2,81898,6088
iFFALCON by TCL S55 80 cm (32 inch) HD Ready LED Smart Google TV 2025 Edition with HDR 10 | 16W Dolby ...,4.1,HD Ready | LED Model ID: 32S55 Launch Year: 2025 Total Sound Output: 16 W 1 Year Product Warranty,8499,57,Hot Deal,"5,624 Ratings & 373 Reviews",iFFALCON,80,32.0,LED,55,32S55,32,1,5624,373
TCL T6C 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition with HDR10+ | Dolby Vision- A...,4,Ultra HD (4K) | QLED Model ID: 43T6C Launch Year: 2025 Total Sound Output: 24 W 2 Years Product Warranty,25990,56,Hot Deal,"6,394 Ratings & 436 Reviews",TCL,108,43.0,QLED,6,43T6C,43,2,6394,436
"LG UR7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV with Alpha5 AI Processor 4K Gen6, AI Pictu...",4.4,Ultra HD (4K) | LED Model ID: 43UR7500PSC Launch Year: 2023 Total Sound Output: 20 W 1 Year Standard Warranty on the Product from the Date of Purchase. (T&C Apply),22999,53,Upto 6650 Off on Exchange,"34,142 Ratings & 2,334 Reviews",LG,108,43.0,LED,7500,43UR7500PSC,43,1,34142,2334
XIAOMI X Pro CineMagiQLED 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition with Dolby ...,4,Ultra HD (4K) | QLED Model ID: L43MB-APIN Launch Year: 2025 Total Sound Output: 30 W Enjoy 2 Years of Warranty � 1st Year Comprehensive Warranty + 1 Additional Year of Free Warranty on the Display Panel,28999,35,Upto 2000 Off on Exchange,"12,783 Ratings & 720 Reviews",XIAOMI,108,43.0,QLED, 108,L43MB-APIN,43,2,12783,720
Thomson NeoX 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV with 70W Sound Output powered by Blau...,4.3,Ultra HD (4K) | QLED Model ID: 65NEOX0009 Launch Year: 2025 Total Sound Output: 70 W 1 Year Warranty on Product,43999,37,Bank Offer,17 Ratings & 0 Reviews,Thomson,164,65.0,QLED, 164,65NEOX0009,65,1,17,0
Thomson Alpha QLED 80 cm (32 inch) QLED HD Ready Smart Linux TV 2025 Edition with 36W Sound Output | W...,4,HD Ready | QLED Model ID: 32AlphaQ019 Launch Year: 2025 Total Sound Output: 36 W 1 Year Warranty on Product & 6 Months on Accessories,7999,46,Upto 6650 Off on Exchange,"7,004 Ratings & 720 Reviews",Thomson,80,32.0,QLED, 80,32AlphaQ019,32,1,7004,720
Thomson NeoX 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV with 70W Sound Output powered by Blau...,4.3,Ultra HD (4K) | QLED Model ID: 55NEOX0011 Launch Year: 2025 Total Sound Output: 70 W 1 Year Warranty on Product,31999,36,Hot Deal,17 Ratings & 0 Reviews,Thomson,139,55.0,QLED, 139,55NEOX0011,55,1,17,0
KODAK MotionX 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV with 70W Sound Output | 4 Speaker | ...,4.8,Ultra HD (4K) | QLED Model ID: 65MX1212 Launch Year: 2025 Total Sound Output: 70 W 1 Year Warranty on Product,43999,37,Upto 6650 Off on Exchange,4 Ratings & 0 Reviews,KODAK,164,65.0,QLED, 164,65MX1212,65,1,4,0
realme TechLife 80 cm (32 inch) QLED HD Ready Smart Google TV 2025 Edition,4.3,HD Ready | QLED Model ID: 32HDGQRDDAQ Launch Year: 2025 Total Sound Output: 26 W 1 Year Warranty for Manufacturing Defects (Applicable only in INDIA),9999,58,Upto 2000 Off on Exchange,"16,382 Ratings & 1,304 Reviews",realme,80,32.0,QLED, 80,32HDGQRDDAQ,32,1,16382,1304
Blaupunkt Quantum Dot 100 cm (40 inch) QLED Full HD Smart Android TV 2025 Edition with 48W Sound Outpu...,4.4,Full HD | QLED Model ID: 40QD7070 Launch Year: 2025 Total Sound Output: 48 W 1 Year Warranty on Product & 6 Months on Accessories,13799,31,Bank Offer,"13,170 Ratings & 3,000 Reviews",Blaupunkt,100,40.0,QLED, 100,40QD7070,40,1,13170,3000
Coocaa S4U Plus 80 cm (32 inch) HD Ready LED Smart Coolita TV 2025 Edition with Dolby Audio | Narrow F...,4.1,HD Ready | LED Model ID: 32S4U Plus Launch Year: 2025 Total Sound Output: 30 W 1 Year Domestic Warranty,7699,45,Hot Deal,"20,480 Ratings & 2,326 Reviews",Coocaa,80,32.0,LED,4,32S4U,32,1,20480,2326
Infinix 80 cm (32 inch) HD Ready LED Smart Linux TV,4.2,HD Ready | LED Model ID: 32Y1D/32Y1C/32Y1B Launch Year: 2024 Total Sound Output: 16 W 1 Year Warranty on Product,8499,50,Upto 2000 Off on Exchange,"64,714 Ratings & 6,119 Reviews",Infinix,80,32.0,LED, 80,32Y1D,32,1,64714,6119
TCL C6K 139 cm (55 inch) Ultra HD (4K) Mini LED Smart Google TV 2025 Edition with 512+ Local Dimming Z...,4.1,Ultra HD (4K) | Mini LED Model ID: 55C6K Launch Year: 2025 Total Sound Output: 40 W 2 Years Product Warranty,47990,60,Hot Deal,795 Ratings & 61 Reviews,TCL,139,55.0,Mini LED,6,55C6K,55,2,795,61
LG AI TV UA8200 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2025 Edition with Alpha7 AI Processo...,4.4,Ultra HD (4K) | LED Model ID: 43UA82006LA Launch Year: 2025 Total Sound Output: 20 W Warranty Information: 1-Year LG India Standard Warranty on Product from the date of purchase (T&C Apply) and 1-year standard warranty on the remote control (only for tech defect in remote controller).,28990,37,Upto 2000 Off on Exchange,"34,142 Ratings & 2,334 Reviews",LG,108,43.0,LED,8200,43UA82006LA,43,0,34142,2334
SONY BRAVIA 2 II 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2025 Edition,4.7,Ultra HD (4K) | LED Model ID: K-43S22BM2 Launch Year: 2025 Total Sound Output: 20 W 1 Year comprehensive warranty on product provided by the brand from the date of purchase including remote for technical issue,38490,29,Only few left,"29,705 Ratings & 3,700 Reviews",SONY,108,43.0,LED, 2,K-43S22BM2,43,1,29705,3700
TCL 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2025 Edition with MEMC | Dolby Vision-Atmos | H...,4,Ultra HD (4K) | LED Model ID: 43V6C Launch Year: 2025 Total Sound Output: 24 W 2 Years Product Warranty,21990,53,Bank Offer,"3,800 Ratings & 261 Reviews",TCL,108,43.0,LED, 108,43V6C,43,2,3800,261
Samsung Crystal 4K Infinity Vision 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV 2025 Edition with...,4.3,Ultra HD (4K) | LED Model ID: UA55UE84AFULXL Launch Year: 2025 Total Sound Output: 20 W 2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),38490,32,Hot Deal,"68,079 Ratings & 4,567 Reviews",Samsung,138,55.0,LED, 4,UA55UE84AFULXL,55,2,68079,4567
Samsung Crystal Vision 4K iSmart 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with IOT Sensors fo...,4.3,Ultra HD (4K) | LED Model ID: UA55CUE70AKLXL Launch Year: 2023 Total Sound Output: 20 W 2 Year Warranty (1Year Standard + 1 Year Extended Warranty on Panel ),34999,47,Upto 2000 Off on Exchange,"68,079 Ratings & 4,567 Reviews",Samsung,138,55.0,LED, 4,UA55CUE70AKLXL,55,2,68079,4567
